# 1:Operator 	 2:Order 	 3:g_Ising 	 4:Model_average 	 5:Operator_bit_representation
### 
5942	 8	 0.320034	 0.628348	 001011100110110
5974	 8	 -0.700847	 0.41778	 001011101010110
10345	 6	 -0.377073	 -0.222378	 010100001101001
14360	 5	 0.276315	 0.607144	 011100000011000
16261	 9	 -0.23665	 0.68065	 011111110000101
22219	 9	 -0.0363311	 -0.0214957	 101011011001011
26200	 7	 -0.446723	 -0.714118	 110011001011000
28888	 7	 0.145264	 0.263864	 111000011011000
32418	 9	 -0.0054656	 -0.305707	 111111010100010
32640	 8	 -0.0965578	 0.248664	 111111110000000

