#N = 1000
#Total number of accessible states = 32767
#Number of visited states, Nset.size() = 970
#
#1: state 	 #2: nb of pts in state 	 #3: Pba state
16:	000000000010000 => 1  	  P = 0.001
34:	000000000100010 => 1  	  P = 0.001
70:	000000001000110 => 1  	  P = 0.001
84:	000000001010100 => 1  	  P = 0.001
97:	000000001100001 => 1  	  P = 0.001
141:	000000010001101 => 1  	  P = 0.001
221:	000000011011101 => 1  	  P = 0.001
232:	000000011101000 => 1  	  P = 0.001
252:	000000011111100 => 1  	  P = 0.001
263:	000000100000111 => 1  	  P = 0.001
282:	000000100011010 => 1  	  P = 0.001
351:	000000101011111 => 1  	  P = 0.001
405:	000000110010101 => 1  	  P = 0.001
436:	000000110110100 => 1  	  P = 0.001
438:	000000110110110 => 1  	  P = 0.001
479:	000000111011111 => 1  	  P = 0.001
483:	000000111100011 => 1  	  P = 0.001
571:	000001000111011 => 1  	  P = 0.001
610:	000001001100010 => 1  	  P = 0.001
717:	000001011001101 => 1  	  P = 0.001
766:	000001011111110 => 1  	  P = 0.001
827:	000001100111011 => 1  	  P = 0.001
851:	000001101010011 => 1  	  P = 0.001
940:	000001110101100 => 1  	  P = 0.001
966:	000001111000110 => 1  	  P = 0.001
969:	000001111001001 => 2  	  P = 0.002
986:	000001111011010 => 1  	  P = 0.001
1010:	000001111110010 => 1  	  P = 0.001
1018:	000001111111010 => 1  	  P = 0.001
1050:	000010000011010 => 1  	  P = 0.001
1055:	000010000011111 => 1  	  P = 0.001
1063:	000010000100111 => 1  	  P = 0.001
1074:	000010000110010 => 1  	  P = 0.001
1103:	000010001001111 => 1  	  P = 0.001
1157:	000010010000101 => 1  	  P = 0.001
1211:	000010010111011 => 1  	  P = 0.001
1227:	000010011001011 => 1  	  P = 0.001
1228:	000010011001100 => 1  	  P = 0.001
1241:	000010011011001 => 1  	  P = 0.001
1290:	000010100001010 => 1  	  P = 0.001
1316:	000010100100100 => 1  	  P = 0.001
1342:	000010100111110 => 1  	  P = 0.001
1343:	000010100111111 => 2  	  P = 0.002
1353:	000010101001001 => 1  	  P = 0.001
1358:	000010101001110 => 1  	  P = 0.001
1373:	000010101011101 => 1  	  P = 0.001
1442:	000010110100010 => 1  	  P = 0.001
1487:	000010111001111 => 1  	  P = 0.001
1498:	000010111011010 => 1  	  P = 0.001
1515:	000010111101011 => 1  	  P = 0.001
1516:	000010111101100 => 1  	  P = 0.001
1529:	000010111111001 => 1  	  P = 0.001
1570:	000011000100010 => 1  	  P = 0.001
1579:	000011000101011 => 1  	  P = 0.001
1589:	000011000110101 => 1  	  P = 0.001
1593:	000011000111001 => 1  	  P = 0.001
1746:	000011011010010 => 1  	  P = 0.001
1766:	000011011100110 => 1  	  P = 0.001
1786:	000011011111010 => 2  	  P = 0.002
1800:	000011100001000 => 1  	  P = 0.001
1833:	000011100101001 => 1  	  P = 0.001
1837:	000011100101101 => 1  	  P = 0.001
1878:	000011101010110 => 1  	  P = 0.001
1881:	000011101011001 => 1  	  P = 0.001
1889:	000011101100001 => 1  	  P = 0.001
1934:	000011110001110 => 1  	  P = 0.001
1939:	000011110010011 => 1  	  P = 0.001
1952:	000011110100000 => 1  	  P = 0.001
1988:	000011111000100 => 1  	  P = 0.001
2010:	000011111011010 => 1  	  P = 0.001
2041:	000011111111001 => 1  	  P = 0.001
2099:	000100000110011 => 1  	  P = 0.001
2211:	000100010100011 => 1  	  P = 0.001
2281:	000100011101001 => 1  	  P = 0.001
2294:	000100011110110 => 1  	  P = 0.001
2298:	000100011111010 => 1  	  P = 0.001
2312:	000100100001000 => 1  	  P = 0.001
2337:	000100100100001 => 1  	  P = 0.001
2377:	000100101001001 => 1  	  P = 0.001
2378:	000100101001010 => 1  	  P = 0.001
2380:	000100101001100 => 1  	  P = 0.001
2391:	000100101010111 => 1  	  P = 0.001
2422:	000100101110110 => 1  	  P = 0.001
2448:	000100110010000 => 1  	  P = 0.001
2647:	000101001010111 => 1  	  P = 0.001
2762:	000101011001010 => 1  	  P = 0.001
2797:	000101011101101 => 1  	  P = 0.001
2818:	000101100000010 => 1  	  P = 0.001
2868:	000101100110100 => 1  	  P = 0.001
2889:	000101101001001 => 1  	  P = 0.001
2901:	000101101010101 => 1  	  P = 0.001
2921:	000101101101001 => 1  	  P = 0.001
2993:	000101110110001 => 1  	  P = 0.001
3031:	000101111010111 => 1  	  P = 0.001
3060:	000101111110100 => 1  	  P = 0.001
3099:	000110000011011 => 1  	  P = 0.001
3148:	000110001001100 => 1  	  P = 0.001
3160:	000110001011000 => 1  	  P = 0.001
3188:	000110001110100 => 1  	  P = 0.001
3190:	000110001110110 => 1  	  P = 0.001
3208:	000110010001000 => 1  	  P = 0.001
3294:	000110011011110 => 1  	  P = 0.001
3309:	000110011101101 => 1  	  P = 0.001
3316:	000110011110100 => 1  	  P = 0.001
3319:	000110011110111 => 1  	  P = 0.001
3372:	000110100101100 => 1  	  P = 0.001
3413:	000110101010101 => 1  	  P = 0.001
3451:	000110101111011 => 1  	  P = 0.001
3493:	000110110100101 => 1  	  P = 0.001
3498:	000110110101010 => 2  	  P = 0.002
3531:	000110111001011 => 1  	  P = 0.001
3532:	000110111001100 => 1  	  P = 0.001
3547:	000110111011011 => 1  	  P = 0.001
3581:	000110111111101 => 1  	  P = 0.001
3615:	000111000011111 => 1  	  P = 0.001
3688:	000111001101000 => 1  	  P = 0.001
3729:	000111010010001 => 1  	  P = 0.001
3735:	000111010010111 => 1  	  P = 0.001
3754:	000111010101010 => 1  	  P = 0.001
